1,2,3
1,4,3
1,4,5
1,2,5
7,2,3
9,4,3
11,4,5
13,2,5
7,2,6
7,8,3
9,4,10
9,8,3
11,4,10
11,12,5
13,2,6
13,12,5
7,15,6
7,8,16
9,19,10
9,8,18
11,21,10
11,12,22
13,25,6
13,12,24
14,15,6
7,15,16
17,8,16
20,19,10
9,19,18
17,8,18
20,21,10
11,21,22
23,12,22
14,25,6
13,25,24
23,12,24
14,15,27
28,15,16
17,29,16
20,19,33
32,19,18
17,31,18
20,21,35
36,21,22
23,37,22
14,25,41
40,25,24
23,39,24
14,26,27
28,15,27
28,29,16
17,29,30
20,34,33
32,19,33
32,31,18
17,31,30
20,34,35
36,21,35
36,37,22
23,37,38
14,26,41
40,25,41
40,39,24
23,39,38
43,26,27
28,44,27
28,29,45
46,29,30
51,34,33
32,50,33
32,31,49
48,31,30
53,34,35
36,54,35
36,37,55
56,37,38
61,26,41
40,60,41
40,39,59
58,39,38
43,26,42
43,44,27
28,44,45
46,29,45
46,47,30
51,34,52
51,50,33
32,50,49
48,31,49
48,47,30
53,34,52
53,54,35
36,54,55
56,37,55
56,57,38
61,26,42
61,60,41
40,60,59
58,39,59
58,57,38
43,63,42
43,44,64
65,44,45
46,66,45
46,47,67
51,73,52
51,50,72
71,50,49
48,70,49
48,47,69
53,75,52
53,54,76
77,54,55
56,78,55
56,57,79
61,85,42
61,60,84
83,60,59
58,82,59
58,57,81
62,63,42
43,63,64
65,44,64
65,66,45
46,66,67
68,47,67
74,73,52
51,73,72
71,50,72
71,70,49
48,70,69
68,47,69
74,75,52
53,75,76
77,54,76
77,78,55
56,78,79
80,57,79
62,85,42
61,85,84
83,60,84
83,82,59
58,82,81
80,57,81
62,63,87
88,63,64
65,89,64
65,66,90
91,66,67
68,92,67
74,73,99
98,73,72
71,97,72
71,70,96
95,70,69
68,94,69
74,75,101
102,75,76
77,103,76
77,78,104
105,78,79
80,106,79
62,85,113
112,85,84
83,111,84
83,82,110
109,82,81
80,108,81
62,86,87
88,63,87
88,89,64
65,89,90
91,66,90
91,92,67
68,92,93
74,100,99
98,73,99
98,97,72
71,97,96
95,70,96
95,94,69
68,94,93
74,100,101
102,75,101
102,103,76
77,103,104
105,78,104
105,106,79
80,106,107
62,86,113
112,85,113
112,111,84
83,111,110
109,82,110
109,108,81
80,108,107
115,86,87
88,116,87
88,89,117
118,89,90
91,119,90
91,92,120
121,92,93
129,100,99
98,128,99
98,97,127
126,97,96
95,125,96
95,94,124
123,94,93
131,100,101
102,132,101
102,103,133
134,103,104
105,135,104
105,106,136
137,106,107
145,86,113
112,144,113
112,111,143
142,111,110
109,141,110
109,108,140
139,108,107
115,86,114
115,116,87
88,116,117
118,89,117
118,119,90
91,119,120
121,92,120
121,122,93
129,100,130
129,128,99
98,128,127
126,97,127
126,125,96
95,125,124
123,94,124
123,122,93
131,100,130
131,132,101
102,132,133
134,103,133
134,135,104
105,135,136
137,106,136
137,138,107
145,86,114
145,144,113
112,144,143
142,111,143
142,141,110
109,141,140
139,108,140
139,138,107
